[Total Benchmark Summary]

group                    method                                valid  center_in  coll_rate  coll_area  norm_area     lat_ms
---------------------------------------------------------------------------------------------------------------------------
baseline_single          direct_polygon_regression           100.00%    100.00%      0.02%     0.007%     0.3094     7.413
baseline_single          heuristic_ellipse_fit               100.00%    100.00%      0.00%     0.006%     0.2534     9.701
baseline_single          largest_empty_circle                100.00%    100.00%      0.00%     0.000%     0.1571     0.106
baseline_single          rotated_rectangle                   100.00%    100.00%      0.26%     0.004%     0.3750     0.891
baseline_single          segmentation_polygon_postprocess    100.00%    100.00%      0.00%     0.000%     0.2629     8.019
ours_cpp_cpu_batch       ours_corridor_cpp                   100.00%     99.83%      0.01%     0.000%     0.9460     1.544
ours_cpp_cpu_single      ours_corridor_cpp                   100.00%     99.83%      0.01%     0.000%     0.9460     2.313
ours_cpp_gpu_batch       ours_corridor_cpp                   100.00%     99.83%      0.01%     0.000%     0.9460     0.288
ours_cpp_gpu_single      ours_corridor_cpp                   100.00%     99.83%      0.01%     0.000%     0.9460     1.580
ours_py_batch            ours_corridor_net                   100.00%     99.84%      0.00%     0.000%     0.9622     0.840
ours_py_single           ours_corridor_net                   100.00%     99.83%      0.00%     0.000%     0.9622     2.773
wsl_single               decomputil                          100.00%     99.66%     37.24%     0.893%     0.7679     3.168
wsl_single               firi                                100.00%    100.00%      2.79%     0.083%     0.9704    39.002
wsl_single               iris                                100.00%    100.00%      0.19%     0.002%     0.9628   181.183
