group,method,samples,valid_count,valid_rate,center_in_rate,collision_rate,collision_area_ratio,normalized_area,mean_latency_ms,native_area_mean
baseline_single,direct_polygon_regression,11986,11986,1.0,1.0,0.0,7.322810292214304e-06,0.30938940831241857,3.934641498462167,1879.3983137826572
baseline_single,heuristic_ellipse_fit,11986,11986,1.0,1.0,0.0,3.934843686866314e-06,0.2533822924071857,14.82519692975656,1419.562805004035
baseline_single,largest_empty_circle,11986,11986,1.0,1.0,0.0,0.0,0.15714593281756956,0.10971502592948104,897.6548344334897
baseline_single,rotated_rectangle,11986,11986,1.0,1.0,0.0024194894043050225,3.5859179149474535e-05,0.375030070945089,0.930209260757886,1849.8606892161117
baseline_single,segmentation_polygon_postprocess,11986,11986,1.0,1.0,0.0,0.0,0.26293861778166966,8.485679768120223,1502.7254042264624
ours_cpp_cpu_batch,ours_corridor_cpp,11986,11986,1.0,0.9983313866177207,0.0,3.6569623076894946e-08,0.945989457472308,1.6196863006684212,4562.412594443813
ours_cpp_cpu_single,ours_corridor_cpp,11986,11986,1.0,0.9983313866177207,0.0,3.6569623076894946e-08,0.945989457472308,2.4476366594373995,4562.412594443813
ours_cpp_gpu_batch,ours_corridor_cpp,11986,11986,1.0,0.9983313866177207,0.0,3.6569709335356324e-08,0.945989457472308,0.310831061225241,4562.408355999109
ours_cpp_gpu_single,ours_corridor_cpp,11986,11986,1.0,0.9983313866177207,0.0,3.656971067270001e-08,0.945989457472308,1.5992787168046363,4562.408059301118
ours_py_batch,ours_corridor_net,11986,11986,1.0,0.9984148172868347,0.0,0.0,0.9621972521000921,0.943056641083127,4622.1271311926375
ours_py_single,ours_corridor_net,11986,11986,1.0,0.9983313866177207,0.0,0.0,0.9621972521000921,3.206066060414424,4622.163323207838
wsl_single,decomputil,11986,11986,1.0,0.9965793425663274,0.01777073252127482,0.0009687008175712909,0.7679234748218565,3.1737805334579545,3743.172822412597
wsl_single,firi,11986,11986,1.0,1.0,8.34306691139663e-05,7.95112213915689e-07,0.9704443224395521,38.818370427747695,4602.6312395087925
wsl_single,iris,11986,11986,1.0,1.0,0.0002502920073418989,1.6639222800712535e-06,0.962783894622645,183.33174053253757,4583.648221639845
