[Total Benchmark Summary]

group                    method                                valid  center_in  coll_rate  coll_area  norm_area     lat_ms
---------------------------------------------------------------------------------------------------------------------------
baseline_single          direct_polygon_regression           100.00%    100.00%      0.00%     0.001%     0.3094     3.935
baseline_single          heuristic_ellipse_fit               100.00%    100.00%      0.00%     0.000%     0.2534    14.825
baseline_single          largest_empty_circle                100.00%    100.00%      0.00%     0.000%     0.1571     0.110
baseline_single          rotated_rectangle                   100.00%    100.00%      0.24%     0.004%     0.3750     0.930
ours_cpp_cpu_batch       ours_corridor_cpp                   100.00%     99.83%      0.00%     0.000%     0.9460     1.620
ours_cpp_cpu_single      ours_corridor_cpp                   100.00%     99.83%      0.00%     0.000%     0.9460     2.448
ours_cpp_gpu_batch       ours_corridor_cpp                   100.00%     99.83%      0.00%     0.000%     0.9460     0.311
ours_cpp_gpu_single      ours_corridor_cpp                   100.00%     99.83%      0.00%     0.000%     0.9460     1.599
ours_py_batch            ours_corridor_net                   100.00%     99.84%      0.00%     0.000%     0.9622     0.943
ours_py_single           ours_corridor_net                   100.00%     99.83%      0.00%     0.000%     0.9622     3.206
wsl_single               decomputil                          100.00%     99.66%      1.78%     0.097%     0.7679     3.174
wsl_single               firi                                100.00%    100.00%      0.00%     0.000%     0.9704    38.818
wsl_single               iris                                100.00%    100.00%      0.00%     0.000%     0.9628   183.332
